dub_temp,dub_wddir,dub_wdsp,date,dayInMonth,hour,dayOfWeek,dayOfYear,sin_hour,sin_day,cos_hour,cos_day,index,predictedGeneration,rawTemp
4.348243599902131e+16,-2.2554026933871444e+18,-4.608394926392002e+16,2022-07-21 18:00:00+00:00,21,18,3,202,-1.0,-0.3294084822245298,-1.0,-0.3294084822245298,87,1.07028066e+21,
3.865105422135227e+16,-2.1579726138014866e+18,-2.7108205449364716e+16,2022-07-21 21:00:00+00:00,21,21,3,202,-0.7071067811865477,-0.3294084822245298,-0.7071067811865477,-0.3294084822245298,88,1.202818e+21,32.5
3.410387137178142e+16,-1.504983782535907e+18,-2.439738490442825e+16,2022-07-22 00:00:00+00:00,22,0,4,203,0.0,-0.3456123126707333,0.0,-0.3456123126707333,89,1.013769e+21,
3.83668552932541e+16,-1.073803855858953e+18,-3.5240667084174132e+16,2022-07-22 06:00:00+00:00,22,6,4,203,1.0,-0.3456123126707333,1.0,-0.3456123126707333,90,7.0656475e+20,32.2
5.0871608129573944e+16,-1.9962801412976287e+18,-4.066230817404708e+16,2022-07-22 12:00:00+00:00,22,12,4,203,1.2246467991473532e-16,-0.3456123126707333,1.2246467991473532e-16,-0.3456123126707333,91,8.206536e+20,
4.8313817776690344e+16,-1.8408066100439194e+18,-4.066230817404708e+16,2022-07-22 18:00:00+00:00,22,18,4,203,-1.0,-0.3456123126707333,-1.0,-0.3456123126707333,92,1.03902976e+21,32.0
3.6093263868468664e+16,-3.4452934525822003e+18,-2.1686564359491776e+16,2022-07-23 00:00:00+00:00,23,0,5,204,0.0,-0.3617137307297674,0.0,-0.3617137307297674,93,1.4302933e+21,
3.865105422135227e+16,-4.755417075946792e+18,-1355410272468237.0,2022-07-23 06:00:00+00:00,23,6,5,204,1.0,-0.3617137307297674,1.0,-0.3617137307297674,94,2.2368973e+21,31.4
5.826078026012659e+16,-3.0908138013237427e+18,-5.015018008132473e+16,2022-07-23 12:00:00+00:00,23,12,5,204,1.2246467991473532e-16,-0.3617137307297674,1.2246467991473532e-16,-0.3617137307297674,95,2.1972968e+21,
5.2008403841966664e+16,-3.5551614146681554e+18,-5.421641089872943e+16,2022-07-23 18:00:00+00:00,23,18,5,204,-1.0,-0.3617137307297674,-1.0,-0.3617137307297674,96,1.7987972e+21,31.1
4.689282313619945e+16,-3.486753060916523e+18,-6.370428280600709e+16,2022-07-24 00:00:00+00:00,24,0,6,205,0.0,-0.37770796520396466,0.0,-0.37770796520396466,97,1.9190491e+21,
4.689282313619945e+16,-3.9034221246764646e+18,-4.066230817404708e+16,2022-07-24 06:00:00+00:00,24,6,6,205,1.0,-0.37770796520396466,1.0,-0.37770796520396466,98,2.0123254e+21,30.1
5.882917811632294e+16,-4.284850521352231e+18,-6.234887253353885e+16,2022-07-24 12:00:00+00:00,24,12,6,205,1.2246467991473532e-16,-0.37770796520396466,1.2246467991473532e-16,-0.37770796520396466,99,2.2287466e+21,
5.4566194194850264e+16,-4.30143436468596e+18,-4.201771844651531e+16,2022-07-24 18:00:00+00:00,24,18,6,205,-1.0,-0.37770796520396466,-1.0,-0.37770796520396466,100,2.3467911e+21,25.0
4.5756027423806744e+16,-4.960642137201689e+18,-7.725838553068944e+16,2022-07-25 00:00:00+00:00,25,0,0,206,0.0,-0.3935902766564669,0.0,-0.3935902766564669,101,2.5152778e+21,
3.978784993374499e+16,-5.539003673465487e+18,-1.1520987315980005e+17,2022-07-25 06:00:00+00:00,25,6,0,206,1.0,-0.3935902766564669,1.0,-0.3935902766564669,102,2.8547882e+21,22.7
4.717702206429763e+16,-5.864461598889918e+18,-1.1114364234239533e+17,2022-07-25 12:00:00+00:00,25,12,0,206,1.2246467991473532e-16,-0.3935902766564669,1.2246467991473532e-16,-0.3935902766564669,103,3.1127096e+21,
4.8882215632886696e+16,-5.806418147221868e+18,-7.454756498575298e+16,2022-07-25 18:00:00+00:00,25,18,0,206,-1.0,-0.3935902766564669,-1.0,-0.3935902766564669,104,3.1993302e+21,22.5
3.893525314945045e+16,-5.263297278042243e+18,-4.608394926392002e+16,2022-07-26 00:00:00+00:00,26,0,1,207,0.0,-0.40935595881562153,0.0,-0.40935595881562153,105,3.0478018e+21,
