StartTime,	EndTime,	NetImbalanceVolume,	ImbalanceSettlementPrice
2024-06-13T04:30:00, 	2024-06-13T05:00:00, 	-9.096, 	63.47
2024-06-13T05:00:00, 	2024-06-13T05:30:00, 	-10.32, 	53.81
2024-06-13T05:30:00, 	2024-06-13T06:00:00, 	-13.008, 	23.76
2024-06-13T06:00:00, 	2024-06-13T06:30:00, 	-5.794, 	76.47
2024-06-13T06:30:00, 	2024-06-13T07:00:00, 	6.12, 	153.98
2024-06-13T07:00:00, 	2024-06-13T07:30:00, 	13.05, 	154.75
2024-06-13T07:30:00, 	2024-06-13T08:00:00, 	7.529, 	139.07
2024-06-13T08:00:00, 	2024-06-13T08:30:00, 	11.678, 	139.95
2024-06-13T08:30:00, 	2024-06-13T09:00:00, 	21.399, 	145.14
2024-06-13T09:00:00, 	2024-06-13T09:30:00, 	20.455, 	145.18
2024-06-13T09:30:00, 	2024-06-13T10:00:00, 	9.394, 	141.05
2024-06-13T10:00:00, 	2024-06-13T10:30:00, 	7.581, 	141.21
2024-06-13T10:30:00, 	2024-06-13T11:00:00, 	13.755, 	144.71
2024-06-13T11:00:00, 	2024-06-13T11:30:00, 	12.336, 	145.28
2024-06-13T11:30:00, 	2024-06-13T12:00:00, 	6.9, 	144
2024-06-13T12:00:00, 	2024-06-13T12:30:00, 	7.613, 	133.99
2024-06-13T12:30:00, 	2024-06-13T13:00:00, 	88.86, 	
2024-06-13T13:00:00, 	2024-06-13T13:30:00, 	82.76, 	
2024-06-13T13:30:00, 	2024-06-13T14:00:00, 	82.69, 	
2024-06-13T14:00:00, 	2024-06-13T14:30:00, 	24.018, 	145.29
2024-06-13T14:30:00, 	2024-06-13T15:00:00, 	14.084, 	142.97
2024-06-13T15:00:00, 	2024-06-13T15:30:00, 	16.904, 	145.29
2024-06-13T15:30:00, 	2024-06-13T16:00:00, 	19.305, 	145.29
2024-06-13T16:00:00, 	2024-06-13T16:30:00, 	24.9, 	145.29
2024-06-13T16:30:00, 	2024-06-13T17:00:00, 	30.899, 	145.53
2024-06-13T17:00:00, 	2024-06-13T17:30:00, 	15.566, 	145.55
2024-06-13T17:30:00, 	2024-06-13T18:00:00, 	16.002, 	145.65
2024-06-13T18:00:00, 	2024-06-13T18:30:00, 	3.73, 	143.29
2024-06-13T18:30:00, 	2024-06-13T19:00:00, 	14.095, 	145.7
2024-06-13T19:00:00, 	2024-06-13T19:30:00, 	28.074, 	159.86
2024-06-13T19:30:00, 	2024-06-13T20:00:00, 	19.975, 	147.24
2024-06-13T20:00:00, 	2024-06-13T20:30:00, 	23.44, 	158.93
2024-06-13T20:30:00, 	2024-06-13T21:00:00, 	28.167, 	155.54
2024-06-13T21:00:00, 	2024-06-13T21:30:00, 	13.893, 	147.34
